Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Attività (product.metafields.shopify.activity),Età (product.metafields.shopify.age-group),Stile dello stivale (product.metafields.shopify.boot-style),Istruzioni per la cura (product.metafields.shopify.care-instructions),Tipo di chiusura (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Materiale per calzature (product.metafields.shopify.footwear-material),Tipo di altezza del tacco (product.metafields.shopify.heel-height-type),Stile dell’occasione (product.metafields.shopify.occasion-style),Funzionalità della scarpa (product.metafields.shopify.shoe-features),Vestibilità della scarpa (product.metafields.shopify.shoe-fit),Numero di scarpa (product.metafields.shopify.shoe-size),Stile pantofola (product.metafields.shopify.slipper-style),Stile scarpa da ginnastica (product.metafields.shopify.sneaker-style),Genere di destinazione (product.metafields.shopify.target-gender),Punta della scarpa (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
air-force-1-custom,Air Force 1 Custom - Richiesta Preventivo,"<p><strong>Richiedi il tuo preventivo personalizzato per Air Force 1 Custom</strong></p>
<p>Ogni paio di Air Force viene personalizzato a mano nel nostro laboratorio secondo le tue specifiche.</p>
<p><strong>Come funziona:</strong></p>
<ol>
<li>
<strong>Richiedi preventivo gratuito:</strong> Seleziona la tua taglia e completa l'ordine (nessun pagamento richiesto)</li>
<li>
<strong>Descrivi la personalizzazione:</strong> Nelle note dell'ordine, indica il tipo di customizzazione che desideri o il modello che hai visto nelle foto</li>
<li>
<strong>Ricevi il preventivo:</strong> Ti contatteremo entro 24 ore con il preventivo dettagliato (da 150€ a 299€ in base alla complessità)</li>
<li>
<strong>Conferma e paga:</strong> Se accetti, riceverai un link per completare il pagamento</li>
<li>
<strong>Lavorazione:</strong> La tua sneaker verrà realizzata in 3-7 giorni lavorativi</li>
</ol>
<p><strong>Sfoglia la galleria</strong> per vedere esempi delle nostre personalizzazioni!</p>
<p><strong>Fascia di prezzo:</strong> 150€ - 250€ in base al tipo di lavorazione</p>",Shoes&clothing_reselling,Apparel & Accessories > Shoes > Sneakers,"","""ordina la tua custom"", ""sneakers"", Nike, sneakers uomo, “sneakers donna”",true,Taglie,35-5-36-36-5-37-37-5-38-38-5-39-40-40-5-41-42-42-5-43-44-44-5-45-45-5-46-46-5-47,product.metafields.shopify.activity,,,,,,,,0.0,shopify,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/C5518160-3333-4525-8A25-BF2B90D27708.jpg?v=1769297148,1,"",false,Air Force Custom Personalizzate - Sneaker Su Misura,Crea le tue Nike Air Force 1 personalizzate. Lavorazione artigianale su ordinazione in 3-7 giorni. Personalizzazione unica per il tuo stile.,35-5-36-36-5-37-37-5-38-38-5-39-40-40-5-41-42-42-5-43-44-44-5-45-45-5-46-46-5-47,,,,,,,,,,,,,,,,,kg,,,active
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/26BF1E57-BE66-4E53-B9BB-3587666A09B3.jpg?v=1769297148,2,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/80114161-C428-4C5A-B49D-D11C2C9EE7EC.jpg?v=1769297148,3,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/402D42E2-DFAD-46E5-B82B-ED4C12523C02.jpg?v=1769297148,4,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/75C64CA3-F311-42BF-A0E8-2F1092526562.jpg?v=1769297148,5,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/19A709E8-15D7-444E-8F59-01682EC4843C.jpg?v=1769297148,6,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/89CE4DDC-BACD-433D-B6F9-97391B38C427.jpg?v=1769297148,7,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/7F0A51F5-F07E-457F-B42E-2E16557AD826.jpg?v=1769297148,8,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/7D552C13-03E5-43A8-AEE0-61D4B43E6A0C.jpg?v=1769297148,9,"",,,,,,,,,,,,,,,,,,,,,,,,
air-force-1-custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/8027/9414/files/1E45CF61-36D1-43B9-B43D-4EF96F85C84B.jpg?v=1769297148,10,"",,,,,,,,,,,,,,,,,,,,,,,,
